antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,condition,algorithm,basket_type
frozenset({'electronics_misc'}),frozenset({'cama_mesa_banho'}),0.0328719723183391,0.28546712802768165,0.005190311418685121,0.15789473684210528,0.55311004784689,1.0,-0.004193556111636593,0.848507785467128,-0.4551656920077973,0.016574585635359115,-0.17853956926213838,0.08803827751196174,Primavera,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'diversified_other'}),0.028511087645195353,0.5364308342133052,0.008447729672650475,0.2962962962962963,0.552347623213765,1.0,-0.006846496857190328,0.65875618296004,-0.4548148148148149,0.015180265654648955,-0.5180123175567367,0.15602216389617962,Outono,FP-Growth,category
frozenset({'music_homecomfort'}),frozenset({'diversified_other'}),0.007391763463569166,0.5364308342133052,0.0021119324181626186,0.2857142857142857,0.5326209223847019,1.0,-0.0018532374229072186,0.6489968321013727,-0.46922642574816487,0.003898635477582846,-0.5408395704523268,0.14482564679415072,Outono,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'diversified_other'}),0.0328719723183391,0.4411764705882353,0.006920415224913495,0.2105263157894737,0.4771929824561404,1.0,-0.007581925503765519,0.707843137254902,-0.5311386034808135,0.014814814814814815,-0.4127423822714681,0.11310629514963881,Primavera,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'moveis_decoracao'}),0.028511087645195353,0.1562829989440338,0.0021119324181626186,0.07407407407407407,0.4739739739739739,1.0,-0.0023438658621847018,0.9112143611404435,-0.5332318619989853,0.011560693641618495,-0.09743661057803737,0.04379379379379379,Outono,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'cama_mesa_banho'}),0.028511087645195353,0.24498416050686378,0.0031678986272439284,0.11111111111111112,0.45354406130268204,1.0,-0.003816866244651871,0.8493928194297783,-0.5536147501213003,0.011718750000000002,-0.17731157731157732,0.06202107279693487,Outono,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'moveis_decoracao'}),0.028084252758274825,0.15947843530591777,0.0020060180541624875,0.07142857142857142,0.4478885893980233,1.0,-0.002472814632463087,0.9051770696705501,-0.5591446769790719,0.01081081081081081,-0.10475622229798842,0.04200359389038634,Inverno,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'diversified_other'}),0.028084252758274825,0.5616850551654965,0.007021063189568706,0.25,0.4450892857142857,1.0,-0.008753441870244637,0.5844199264460047,-0.5619349005424956,0.012048192771084338,-0.7110983981693364,0.13125,Inverno,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'diversified_other'}),0.11434302908726178,0.5616850551654965,0.02708124373119358,0.23684210526315788,0.42166353383458643,1.0,-0.037143526869475016,0.5743437208176253,-0.6076330601362693,0.04173106646058732,-0.7411176683126582,0.1425281954887218,Inverno,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'diversified_other'}),0.16089965397923875,0.4411764705882353,0.029411764705882353,0.1827956989247312,0.41433691756272406,1.0,-0.0415733767555465,0.6838235294117647,-0.6274961597542242,0.051359516616314195,-0.46236559139784944,0.12473118279569892,Primavera,FP-Growth,category
frozenset({'diversified_other'}),frozenset({'gifts_household'}),0.4411764705882353,0.16089965397923875,0.029411764705882353,0.06666666666666667,0.414336917562724,1.0,-0.0415733767555465,0.8990360850222442,-0.7166666666666666,0.051359516616314195,-0.11230240549828178,0.12473118279569892,Primavera,FP-Growth,category
frozenset({'electronics_misc'}),frozenset({'cama_mesa_banho'}),0.028084252758274825,0.2587763289869609,0.003009027081243731,0.10714285714285714,0.4140365448504983,1.0,-0.00425851274988456,0.8301705115346038,-0.592857142857143,0.010600706713780918,-0.204571815194278,0.05938538205980066,Inverno,FP-Growth,category
frozenset({'moveis_decoracao'}),frozenset({'cama_mesa_banho'}),0.1562829989440338,0.24498416050686378,0.01583949313621964,0.10135135135135133,0.41370573159366253,1.0,-0.022447366161579562,0.8401680018419861,-0.6268215219828124,0.041095890410958895,-0.19023814023814029,0.0830032618825722,Outono,FP-Growth,category
frozenset({'cama_mesa_banho'}),frozenset({'moveis_decoracao'}),0.24498416050686378,0.1562829989440338,0.01583949313621964,0.0646551724137931,0.41370573159366253,1.0,-0.022447366161579562,0.9020384527418626,-0.6524176821363755,0.041095890410958895,-0.1086001898925381,0.0830032618825722,Outono,FP-Growth,category
frozenset({'gifts_household'}),frozenset({'diversified_other'}),0.10454065469904963,0.5364308342133052,0.022175290390707498,0.21212121212121213,0.39543068480076354,1.0,-0.03390354021870878,0.5883762488831127,-0.6306390392632694,0.035836177474402736,-0.6995927383171118,0.12672989739918875,Outono,FP-Growth,category
